DOMAIN	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_B9252	Basidiobolus_meristosporus_CBS_931	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus_ARSEF_2731	Conidiobolus_firmipilleus_ARSEF_6384	Conidiobolus_heterosporus_ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_lamprauges_ARSEF_2338	Conidiobolus_megalotocus_ARSEF_8428	Conidiobolus_osmodes_ARSEF_79	Conidiobolus_pumilus_ARSEF_6383	Conidiobolus_rhysosporus_ARSEF_448	Conidiobolus_thromboides_ARSEF_4968	Conidiobolus_thromboides_FSU_785	Entomophthora_muscae_Berkeley_v1	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
SurE	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIP49_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
Myb_DNA-bind_2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PE-PPE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
RuBisCO_small	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
MACPF	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC3A2_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
PIP49_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
53-BP1_Tudor	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTH_31	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UNC-50	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
UBA_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
MannoseP_isomer	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Popeye	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
DUF1348	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF4820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
AMOP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
DUF4385	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNase_NucA_NucB	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF1011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Gln-synt_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
4HBT_3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF45	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Retrotran_gag_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
DUF5321	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
RdRP_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
DAG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
SUZ-C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
RB_A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
P4Ha_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
CAMSAP_CC1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0
4_1_CTD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
TPD52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
XTBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Stealth_CR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
RNase_Zc3h12a_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
PDEase_I_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Fam20C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
DUF4612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Nucleoplasmin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
Peptidase_A2B	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Destabilase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Sigma70_r2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
Acetyltransf_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
TNFR_c6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF1736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
DUF2175	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0
AFT	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TMC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
HMMR_C	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Flavi_DEAD	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Rick_17kDa_Anti	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
A_deaminase_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Renin_r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
PhoD_N	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Esterase_phd	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DM4_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
DUF4205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
VEFS-Box	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Flot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
MTABC_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Retinin_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
FA_FANCE	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
PgaPase_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
Neogenin_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ARGLU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
FYVE_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
PTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
Oxidored_q4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
RTP1_C2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DUF1313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
Sec3-PIP2_bind	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
SUFU	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
MMS22L_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Mst1_SARAH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Sprouty	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Cu_amine_oxidN3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBFA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Amidinotransf	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Chondroitinas_B	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UPF0052	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRC1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cupin_7	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAP130_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Notch	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
DUF773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
DUF4071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
ST7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
DUF885	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Meis_PKNOX_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
TRC8_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
RhoGAP-FF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
Geminin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
NDUF_B5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
Blt1_C	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Ku_PK_bind	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
DUF3245	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Miga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
FAM91_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Rab5-bind	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF4805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
YycI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Ost4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
FAM86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
DUF3513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
CHAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
POR	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PQQ_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
DUF2615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF4976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
CT_C_D	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anillin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
EMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Maelstrom	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Comm	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ACT_6	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rif1_N	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
BCNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DBD_Tnp_Hermes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Fucosidase_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
OLF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
PAP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
CPDase	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glyco_transf_54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
TPPII_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
PCIF1_WW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
NTPase_I-T	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DBD_Tnp_Mut	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ArsC	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Axin_b-cat_bind	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ADAM17_MPD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF2152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
LRRNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
DUF5467	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MVIN	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TrkH	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ribosomal_L20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
SOAR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF2043	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fmp27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Swi5	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
7tm_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Unpaired	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
PP2C_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
APC_15aa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Phospholip_B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Reticulon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
UvdE	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fn3_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Cys_knot	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Thioredox_DsbH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Basic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
CCDC50_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF1376	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fe_hyd_SSU	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
MRP-S31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Myosin-VI_CBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF3011	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1-like	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
P-mevalo_kinase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Alpha_L_fucos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
CRF-BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
FUN14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
HTH_Mga	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF4507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
GSAP-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Laminin_II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF1741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF4517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
PKI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
DuoxA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Cytokin-bind	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
PSI_PSAK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Apc13p	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAF	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DUF766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Ocular_alb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
E3_UFM1_ligase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
WASH_WAHD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
TSC22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Fibrinogen_BP	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
SurA_N_3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCHIP-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Glyco_hydro_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
BCL9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
RILP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Mic1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
TMEM192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
TMEM173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF3452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
BHD_2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUF_C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
UT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Mononeg_RNA_pol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
PRORP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF4803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Clr2_transil	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRP-S32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
PsbR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
MRF_C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
GOLD_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Tsg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
CDI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
BIRC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Archease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ACP_syn_III	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF3523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
NusB	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peripla_BP_4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GAIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
MRP-S35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DNase_II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
TSSC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Death_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF1676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
FGase	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AT_hook	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H-kinase_dim	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GEMIN8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Forkhead_N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ARL6IP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ATP-synt_F6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
GlnE	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
NumbF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Glyco_transf_25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
PA28_beta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
PNP_phzG_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Focadhesin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
CT_A_B	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRP-S24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Meckelin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
DUF4528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF2054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
MDM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
YecM	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMPIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
MRP-S26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DHDPS	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Fer4_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
TEA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
MBDa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
HAUS-augmin3	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cep57_MT_bd	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Malectin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
TPD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
AF-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DinB	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TFIIE-A_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
LBR_tudor	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ParcG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Phtf-FEM1B_bdg	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Ribonuclease	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
RNR_inhib	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cmyb_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF4781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
UPF0051	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUF3538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF1731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
GAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
HECA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Keratin_assoc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Myelin_PLP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Amnionless	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
UPF0184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Tmemb_55A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Armet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
HNF_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
LIN52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DUF719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
API5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
CHASE	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARMIL_C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Aft1_HRA	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TraN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MRP-S23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
M_domain	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
DIRP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Gly_rich	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
Methyltransf_21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
FANCM-MHF_bd	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCSMST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
BNIP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
